Year,Road_width,Location_Access,Governmentrate,Inflation_rate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Kathmandu,Lalitpur,Places
1.583333333,3.937007874,5,0.64,0.0987,6,3,1,0,0,0,0,0,1,1,0,Kathmandu
1.416666667,3.937007874,0.6,0.6,0.0987,4.5,4,1,0,0,0,0,0,1,1,0,Kathmandu
3.916666667,3.937007874,5,3,0.0721,7,2.56,1,0,0,0,0,0,1,1,0,Kathmandu
2.416666667,1.312335958,15,0.5,0.0904,7,2.56,0,0,1,0,0,0,1,1,0,Kathmandu
2.416666667,6.56167979,10,2.25,0.0904,4.75,3.75,0,0,0,1,0,0,1,1,0,Kathmandu
2,5.380577428,5,0.64,0.0904,4.24563516,4.1525,1,0,0,0,0,0,1,1,0,Kathmandu
3.666666667,3.280839895,10,3,0.0721,6,2.92,1,0,0,0,0,0,1,1,0,Kathmandu
1.75,2.624671916,4,2.1,0.0987,5,3.5,1,0,0,0,0,0,1,1,0,Kathmandu
0,3.280839895,3,2,0.0831,7,2.5,1,0,0,0,0,0,1,0,0,Bhaktapur
1.833333333,3.937007874,,1.25,0.0987,3.5,5,1,0,0,0,0,0,1,0,0,Bhaktapur
1.666666667,3.937007874,10,1.92,0.0987,5.508661417,3.175,1,0,0,0,0,0,1,1,0,Kathmandu
4.666666667,4.304461942,5,1.5,0.093,4,4.37,1,0,0,0,0,0,1,1,0,Kathmandu
1.916666667,3.937007874,5,1.25,0.0987,4.35,4,1,0,0,0,0,0,1,0,0,Bhaktapur
2.333333333,1.312335958,2,1.3,0.0904,7,2.48,0,0,1,0,0,0,1,1,0,Kathmandu
2.25,0.984251969,1.2,3.4,0.0904,6.5,2.67,0,0,1,0,0,0,1,1,0,Kathmandu
1.666666667,3.280839895,7,3.3,0.0987,5.50387289,3.146875,1,0,0,0,0,0,1,1,0,Kathmandu
1.416666667,3.937007874,7,1.2875,0.0987,6.980332056,2.446875,1,0,0,0,0,0,1,0,1,Lalitpur
1.5,2.624671916,2,3.65,0.0987,6.978461539,2.4375,1,0,0,0,0,0,1,1,0,Kathmandu
4,9.186351706,0.5,18,0.093,25,0.68,1,0,0,0,0,1,0,1,0,Kathmandu
1.083333333,4.593175853,10,2.1,0.0987,3.996448653,4.22375,1,0,0,0,0,0,1,1,0,Kathmandu
1.25,1.312335958,2,5.5,0.0987,6.981818182,2.40625,0,0,1,0,0,0,1,1,0,Kathmandu
1.166666667,2.624671916,2,4.1,0.0987,6.493658537,2.5625,1,0,0,0,0,0,1,1,0,Kathmandu
3.416666667,1.312335958,10,0.625,0.0721,4.5,3.68,0,0,1,0,0,1,0,0,1,Lalitpur
3.333333333,3.280839895,3,2.0625,0.067,5,3.31,0,1,0,0,0,1,0,0,1,Lalitpur
2.083333333,1.312335958,2,1.5,0.0904,4.990548204,3.30625,0,0,1,0,0,0,1,1,0,Kathmandu
1.583333333,1.312335958,2,0.8,0.0987,5.5,3,0,0,1,0,0,0,1,1,0,Kathmandu
1.416666667,15.7480315,2,1.13,0.0987,6.749287011,2.410625,0,0,1,0,0,0,1,0,0,Bhaktapur
1,3.280839895,7,0.8,0.0987,6.5,2.5,1,0,0,0,0,0,1,1,0,Kathmandu
1.833333333,4.304461942,1,4.1,0.0987,5.504680851,2.9375,0,0,1,0,0,0,1,1,0,Kathmandu
2.416666667,2,15,1,0.0904,2.25,7.12,0,0,1,0,0,0,0,1,0,Kathmandu
2.75,2.624671916,2,3.25,0.0904,6.5,2.41,0,0,0,1,0,0,1,0,0,Bhaktapur
1.083333333,4.593175853,,1.8,0.0987,3.994851995,3.885,0,1,0,0,0,0,1,1,0,Kathmandu
1.583333333,3.280839895,30,1.5,0.0987,6.762527233,2.295,1,0,0,0,0,0,1,0,0,Bhaktapur
1.333333333,3.937007874,0.5,1.2,0.0987,4.00516129,3.875,1,0,0,0,0,0,1,1,0,Kathmandu
1.416666667,1.312335958,8,0.03,0.0987,6.993076267,2.2107581,0,0,1,0,0,0,1,0,0,Bhaktapur
2.75,3.280839895,2.5,3,0.0904,7.5,2.06,1,0,0,0,0,0,1,1,0,Kathmandu
5.083333333,4.304461942,1.05,1.5,0.067,6,2.57,0,0,0,1,0,0,0,1,0,Kathmandu
4.083333333,3.280839895,5,3,0.093,6,2.56,1,0,0,0,0,0,1,1,0,Kathmandu
1.916666667,3.937007874,2,2.1,0.0987,4.003292181,3.796875,1,0,0,0,0,0,1,1,0,Kathmandu
3.666666667,6.456692913,1,3,0.0721,5.25,2.88,0,1,0,0,0,0,1,1,0,Kathmandu
2.25,0.984251969,3,4,0.0904,5.593526012,2.703125,0,0,1,0,0,0,1,1,0,Kathmandu
2,5.905511811,10,0.8,0.0904,6.993900668,2.151875,0,0,0,1,0,0,1,1,0,Kathmandu
2.416666667,1.312335958,3,7,0.0904,12,1.25,0,0,1,0,0,0,1,1,0,Kathmandu
2.916666667,1.312335958,2,1,0.0904,6,2.5,0,0,1,0,0,0,1,1,0,Kathmandu
2.666666667,3.280839895,1.5,3,0.0904,5,3,1,0,0,0,0,0,1,1,0,Kathmandu
2.666666667,1.312335958,2,2,0.0904,5,3,0,0,1,0,0,0,1,1,0,Kathmandu
3,2.624671916,5,1,0.0721,5,3,1,0,0,0,0,0,1,0,1,Lalitpur
3.666666667,1.312335958,10,1,0.0721,5,3,0,0,1,0,0,0,1,1,0,Kathmandu
3.166666667,3.280839895,1.5,0.9375,0.0721,5,3,1,0,0,0,0,0,1,0,1,Lalitpur
2.5,6.56167979,6,0.5,0.0904,2.5,6,1,0,0,0,0,1,0,0,1,Lalitpur
2,4.304461942,10,4.4,0.0904,6,2.5,1,0,0,0,0,0,1,1,0,Kathmandu
1.916666667,1.312335958,1,1.9,0.0987,6,2.5,0,0,1,0,0,0,1,1,0,Kathmandu
1.666666667,1.312335958,3,0.6,0.0987,3,5,0,0,1,0,0,0,1,1,0,Kathmandu
